Individuo,Latitude,Longitude,X utm,Y utm,Substrato,Comportamento,Condicao,Varredura,Observador,Grupo,Altitude,Nome,Data,Hora
M,"-7,525665","-34,96306","283388,5046","9167653,891",3,Lof,chuvoso,1,1,grupao,75,,2022-04-07,07:33:48
NI,"-7,525652","-34,962909","283405,1664","9167655,404",4,Lof,chuvoso,1,1,grupao,75,,2022-04-07,07:35:15
M,"-7,52564","-34,963146","283378,999","9167656,613",3,Lof,chuvoso,1,1,grupao,75,,2022-04-07,07:36:43
F,"-7,525592","-34,963042","283390,4553","9167661,974",3,Lof,chuvoso,1,1,grupao,76,,2022-04-07,07:37:32
M,"-7,525565","-34,962996","283395,5197","9167664,984",4,DESCANCANDO,chuvoso,1,1,grupao,76,,2022-04-07,07:38:20
M,"-7,525603","-34,963202","283372,7991","9167660,678",4,Lof,chuvoso,1,1,grupao,75,,2022-04-07,07:38:52
F,"-7,525629","-34,963038","283390,9152","9167657,884",2,Lof,chuvoso,1,1,grupao,76,,2022-04-07,07:39:16
J2,"-7,525539","-34,96304","283390,6498","9167667,838",3,Lof,chuvoso,1,1,grupao,77,,2022-04-07,07:40:20
J3,"-7,525571","-34,963077","283386,5814","9167664,28",2,Lof,chuvoso,1,1,grupao,76,,2022-04-07,07:40:41
M,"-7,525627","-34,963084","283385,8365","9167658,082",3,Lof,chuvoso,1,1,grupao,76,,2022-04-07,07:40:50
M,"-7,525722","-34,963061","283388,4225","9167647,585",3,Lof,chuvoso,1,1,grupao,74,,2022-04-07,07:42:20
M,"-7,525625","-34,963049","283389,699","9167658,321",3,DESCANCANDO,chuvoso,1,1,grupao,76,,2022-04-07,07:42:51
M,"-7,525529","-34,962991","283396,0537","9167668,968",3,Lof,chuvoso,1,1,grupao,77,,2022-04-07,07:43:01
FF,"-7,525648","-34,963112","283382,7561","9167655,745",2,Lof,chuvoso,1,1,grupao,75,,2022-04-07,07:43:22
F,"-7,525617","-34,963072","283387,1562","9167659,194",3,Lof,chuvoso,1,1,grupao,76,,2022-04-07,07:44:05
J2,"-7,525649","-34,963055","283389,0486","9167655,663",4,Lof,chuvoso,1,1,grupao,75,,2022-04-07,07:44:11
M,"-7,525679","-34,963139","283379,7911","9167652,303",3,Lof,chuvoso,1,1,grupao,75,,2022-04-07,07:45:20
J1,"-7,525694","-34,963143","283379,357","9167650,642",3,Lof,chuvoso,1,1,grupao,75,,2022-04-07,07:45:30
J3,"-7,525699","-34,963228","283369,9767","9167650,047",3,Lof,chuvoso,1,1,grupao,74,,2022-04-07,07:46:08
J2,"-7,525816","-34,963204","283372,6841","9167637,117",3,Lof,chuvoso,1,1,grupao,73,,2022-04-07,07:47:38
F,"-7,525853","-34,963236","283369,1701","9167633,008",3,Lof,chuvoso,1,1,grupao,72,,2022-04-07,07:48:13
NI,"-7,525841","-34,963125","283381,4169","9167634,391",4,Lof,chuvoso,1,1,grupao,73,,2022-04-07,07:49:14
NI,"-7,525839","-34,96311","283383,0717","9167634,619",4,Lof,chuvoso,1,1,grupao,73,,2022-04-07,07:49:24
J2,"-7,525865","-34,963081","283386,2858","9167631,758",4,Lof,chuvoso,1,1,grupao,73,,2022-04-07,07:50:19
SA ,"-7,525891","-34,963213","283371,7278","9167628,817",4,Lof,chuvoso,1,1,grupao,72,,2022-04-07,07:53:25
J1,"-7,525817","-34,963083","283386,0412","9167637,066",3,Lof,chuvoso,1,1,grupao,73,,2022-04-07,07:54:14