"name","lat","lon","alt","acc","time","desc","attachments","custom_coords"
"2022-06-07 13:46:24j22","-7.517397","-34.967164","89","","2022-06-07T13:47:08.393-0300","","",""
"2022-06-07 13:49:07m4","-7.517351","-34.967194","89","","2022-06-07T13:49:15.389-0300","","",""
"2022-06-07 13:50:24j13","-7.517413","-34.967114","89","","2022-06-07T13:50:32.675-0300","","",""
"2022-06-07 13:53:31m4","-7.517787","-34.967158","84","","2022-06-07T13:53:35.458-0300","","",""
"2022-06-07 13:54:10m4","-7.517740","-34.967198","84","","2022-06-07T13:54:40.031-0300","","",""
"2022-06-07 13:54:44ff4","-7.517767","-34.967197","84","","2022-06-07T13:54:59.017-0300","","",""
"2022-06-07 13:56:33f4","-7.517644","-34.967206","86","","2022-06-07T13:56:40.115-0300","","",""
"2022-06-07 13:57:05m4","-7.517622","-34.967187","86","","2022-06-07T13:57:08.383-0300","","",""
"2022-06-07 13:57:26j34","-7.517654","-34.967193","86","","2022-06-07T13:57:31.476-0300","","",""
"2022-06-07 13:58:24m4","-7.517594","-34.967185","87","","2022-06-07T13:58:27.980-0300","","",""
"2022-06-07 14:00:34m3","-7.518156","-34.966741","87","","2022-06-07T14:00:37.270-0300","","",""
"2022-06-07 14:02:39m3forcane","-7.518234","-34.966560","89","","2022-06-07T14:02:50.342-0300","","",""
"2022-06-07 14:03:15f3","-7.518253","-34.966450","90","","2022-06-07T14:03:20.225-0300","","",""
"2022-06-07 14:03:45m1forcane","-7.518194","-34.966472","91","","2022-06-07T14:03:58.543-0300","","",""
"2022-06-07 14:04:59ago","-7.518269","-34.966570","89","","2022-06-07T14:05:06.985-0300","Test","",""
"2022-06-07 14:05:18ago","-7.518288","-34.966430","90","","2022-06-07T14:05:29.931-0300","","",""
"2022-06-07 14:06:00m2","-7.518260","-34.966455","90","","2022-06-07T14:06:04.183-0300","","",""
"2022-06-07 14:06:26j32","-7.518260","-34.966465","90","","2022-06-07T14:06:34.547-0300","","",""
"2022-06-07 14:06:54j32forcane","-7.518269","-34.966465","90","","2022-06-07T14:07:10.743-0300","","",""
"2022-06-07 14:07:58j21","-7.518262","-34.966420","91","","2022-06-07T14:08:02.049-0300","","",""
"2022-06-07 14:08:04j21","-7.518266","-34.966421","91","","2022-06-07T14:08:10.062-0300","","",""
"2022-06-07 14:08:37j11","-7.518289","-34.966464","90","","2022-06-07T14:08:41.640-0300","","",""
"2022-06-07 14:09:18mf3","-7.518336","-34.966513","89","","2022-06-07T14:09:27.692-0300","","",""
"2022-06-07 14:09:52sa2","-7.518319","-34.966476","90","","2022-06-07T14:10:00.295-0300","","",""
"2022-06-07 14:29:53ago","-7.518370","-34.966211","91","","2022-06-07T14:29:57.614-0300","","",""
"2022-06-07 14:31:33m3","-7.518367","-34.966308","91","","2022-06-07T14:31:42.375-0300","Start scan 2","",""
"2022-06-07 14:31:55j23","-7.518369","-34.966299","91","","2022-06-07T14:32:01.487-0300","","",""
"2022-06-07 14:32:21j23","-7.518363","-34.966320","91","","2022-06-07T14:32:31.859-0300","","",""
"2022-06-07 14:33:09m3","-7.518486","-34.966323","89","","2022-06-07T14:33:13.715-0300","","",""
"2022-06-07 14:34:40m3sleep","-7.518247","-34.966472","90","","2022-06-07T14:34:50.457-0300","","",""
"2022-06-07 14:35:13j11forcane","-7.518293","-34.966345","91","","2022-06-07T14:35:20.730-0300","","",""
"2022-06-07 14:36:06j23","-7.518345","-34.966331","91","","2022-06-07T14:36:14.351-0300","","",""
"2022-06-07 14:37:01f3","-7.518291","-34.966362","91","","2022-06-07T14:37:09.901-0300","","",""
"2022-06-07 14:37:21m3forcane","-7.518274","-34.966355","91","","2022-06-07T14:37:33.351-0300","","",""
"2022-06-07 14:38:26ff4sleep","-7.518329","-34.966317","91","","2022-06-07T14:38:31.364-0300","","",""
"2022-06-07 14:39:03f4groom","-7.518331","-34.966311","91","","2022-06-07T14:39:14.561-0300","","",""
"2022-06-07 14:39:28j23groom","-7.518330","-34.966310","91","","2022-06-07T14:39:36.681-0300","","",""
"2022-06-07 14:40:19ni4","-7.518319","-34.966314","92","9.94","2022-06-07T14:40:23.006-0300","","",""
"2022-06-07 14:42:36f4","-7.518493","-34.966251","90","","2022-06-07T14:42:40.068-0300","","",""
"2022-06-07 14:43:48j33","-7.518487","-34.966279","90","","2022-06-07T14:43:51.450-0300","","",""
"2022-06-07 14:44:51j23","-7.518556","-34.966306","89","","2022-06-07T14:44:55.601-0300","","",""
"2022-06-07 14:46:19ago","-7.518562","-34.966294","89","","2022-06-07T14:46:22.287-0300","","",""
"2022-06-07 14:48:46ni3","-7.518538","-34.966419","88","","2022-06-07T14:48:51.076-0300","","",""
"2022-06-07 14:51:39ago","-7.518957","-34.966377","82","","2022-06-07T14:51:53.833-0300","Scan 2 done (not included)","",""
"2022-06-07 14:52:23ago","-7.518894","-34.966221","86","","2022-06-07T14:52:27.007-0300","","",""
"2022-06-07 15:09:34j11","-7.518430","-34.966597","87","","2022-06-07T15:09:41.959-0300","Start scan 3","",""
"2022-06-07 15:13:40m4","-7.517888","-34.966999","85","","2022-06-07T15:13:43.630-0300","","",""
"2022-06-07 15:14:18m4","-7.518070","-34.967145","80","","2022-06-07T15:14:21.772-0300","","",""
"2022-06-07 15:16:41m4","-7.517623","-34.967224","86","","2022-06-07T15:16:53.531-0300","","",""
"2022-06-07 15:17:07m4","-7.517560","-34.967280","86","","2022-06-07T15:17:10.977-0300","","",""
"2022-06-07 15:18:37m4","-7.517415","-34.967345","87","","2022-06-07T15:18:44.486-0300","","",""
"2022-06-07 15:19:17ff4","-7.517335","-34.967387","87","","2022-06-07T15:19:23.982-0300","","",""
"2022-06-07 15:20:33ni3","-7.517352","-34.967473","86","","2022-06-07T15:20:36.200-0300","","",""
"2022-06-07 15:21:11ni3","-7.517264","-34.967600","85","","2022-06-07T15:21:15.209-0300","","",""
"2022-06-07 15:23:27m4","-7.517333","-34.967422","86","15.33","2022-06-07T15:23:30.040-0300","","",""
"2022-06-07 15:24:23ago","-7.517236","-34.967436","87","","2022-06-07T15:24:26.832-0300","","",""
"2022-06-07 15:26:59mf4","-7.516910","-34.967674","86","","2022-06-07T15:27:05.520-0300","","",""
"2022-06-07 15:50:28mf4","-7.516412","-34.967974","85","","2022-06-07T15:50:32.923-0300","Start scan 4","",""
"2022-06-07 16:05:56m3","-7.516296","-34.967998","85","","2022-06-07T16:05:59.260-0300","","",""
"2022-06-07 16:06:56ni3","-7.516377","-34.968032","85","","2022-06-07T16:07:00.090-0300","","",""
"2022-06-07 16:08:08j34","-7.516446","-34.967903","86","","2022-06-07T16:08:11.917-0300","","",""
"2022-06-07 16:08:36m3","-7.516445","-34.967882","86","","2022-06-07T16:08:49.907-0300","","",""
"2022-06-07 16:08:52f3","-7.516442","-34.967896","86","","2022-06-07T16:09:02.206-0300","","",""
"2022-06-07 16:09:09m4","-7.516464","-34.967898","86","","2022-06-07T16:09:12.100-0300","","",""
"2022-06-07 16:09:28ni4","-7.516472","-34.967880","86","","2022-06-07T16:09:31.220-0300","","",""
"2022-06-07 16:10:10ff4","-7.516531","-34.967944","85","","2022-06-07T16:10:13.602-0300","","",""
